,empty_slots,free_bikes,latitude,longitude,name,timestamp,ebikes,has_ebikes,extra.renting,extra.returning,total_bikes
95,12,0,45.50936198,-122.6812121,SW 4th at College,2023-04-22T01:56:16.388000Z,0,True,1,1,12
96,1,2,45.56274555,-122.6480594,NE 17th at Killingsworth,2023-04-22T01:56:16.403000Z,2,True,1,1,3
97,1,7,45.56271655,-122.6350486,NE Killingsworth at 30th,2023-04-22T01:56:16.335000Z,7,True,1,1,8
98,10,3,45.52279251,-122.6566163,SE 9th at Burnside,2023-04-22T01:56:16.180000Z,3,True,1,1,14
99,8,0,45.51186486,-122.6210475,SE 40th at Hawthorne,2023-04-22T01:56:16.382000Z,0,True,1,1,8
100,8,0,45.52771962,-122.6603526,Metro Campus,2023-04-22T01:56:16.438000Z,0,True,1,1,8
101,7,1,45.53400578,-122.6555675,NE 10th at Halsey,2023-04-22T01:56:16.203000Z,1,True,1,1,8
102,7,1,45.53966541,-122.6118851,NE 50th at Sandy,2023-04-22T01:56:16.344000Z,1,True,1,1,8
103,4,4,45.5559258,-122.6008129,NE 60th at Cully,2023-04-22T01:56:16.154000Z,4,True,1,1,8
104,6,2,45.55836114,-122.6203609,NE 42nd at Alberta Court,2023-04-22T01:56:16.519000Z,2,True,1,1,8
105,6,1,45.52646211,-122.6093034,NE Glisan at 53rd,2023-04-22T01:56:16.491000Z,1,True,1,1,8
106,7,3,45.52181825,-122.7044079,SW Park at SW Wright (Oregon Holocaust Memorial),2023-04-22T01:56:16.523000Z,3,True,1,1,10
107,12,3,45.52862062,-122.6905073,NW 19th at Johnson,2023-04-22T01:56:16.465000Z,3,True,1,1,15
108,4,4,45.56250716,-122.5943702,NE Cully at Killingsworth,2023-04-22T01:56:16.423000Z,4,True,1,1,8
109,1,3,45.53677138,-122.61884,NE 43rd at Sandy,2023-04-22T01:56:16.439000Z,3,True,1,1,4
110,12,0,45.53479718,-122.6686594,N Wheeler at Broadway,2023-04-22T01:56:16.192000Z,0,True,1,1,12
111,6,0,45.49787392,-122.6375156,SE Powell Blvd at 28th,2023-04-22T01:56:16.159000Z,0,True,1,1,6
112,0,8,45.53689808,-122.6199692,NE 42nd at Hancock,2023-04-22T01:56:16.258000Z,8,True,1,1,7
113,13,5,45.51556831,-122.6738924,SW Salmon at Waterfront Park,2023-04-22T01:56:16.450000Z,5,True,1,1,18
114,2,3,45.50350608,-122.6110657,SE 50th at Clinton,2023-04-22T01:56:16.251000Z,3,True,1,1,5
115,8,4,45.5301398,-122.6546824,NE 11th at Holladay Park,2023-04-22T01:56:16.372000Z,4,True,1,1,12
116,5,0,45.49334301,-122.6369745,SE Gladstone at 28th Place,2023-04-22T01:56:16.325000Z,0,True,1,1,5
117,8,1,45.49684155,-122.6276927,SE 35th Place at Powell Blvd,2023-04-22T01:56:16.455000Z,1,True,1,1,9
118,3,0,45.50225355,-122.6753193,PSU Business Accelerator,2023-04-22T01:56:16.412000Z,0,True,1,1,3
119,9,0,45.52996934,-122.6632373,NE Holladay at 2nd,2023-04-22T01:56:16.285000Z,0,True,1,1,9
120,1,4,45.51434624,-122.6558371,SE Salmon St at 10th,2023-04-22T01:56:16.414000Z,4,True,1,1,5
121,14,2,45.52500056,-122.6811048,NW 10th at Everett,2023-04-22T01:56:16.162000Z,2,True,1,1,16
122,11,7,45.51782551,-122.6724963,SW Naito at Morrison,2023-04-22T01:56:16.265000Z,7,True,1,1,18
123,20,0,45.51889487,-122.6774061,SW 5th at Morrison,2023-04-22T01:56:16.259000Z,0,True,1,1,20
124,16,2,45.52269573,-122.6703492,SW Naito at Ankeny Plaza,2023-04-22T01:56:16.408000Z,2,True,1,1,18
125,5,13,45.51946243,-122.6795143,SW Morrison at Pioneer Courthouse Sq.,2023-04-22T01:56:16.492000Z,13,True,1,1,18
126,8,4,45.51803412,-122.6755071,SW 3rd at Morrison,2023-04-22T01:56:16.449000Z,4,True,1,1,12
127,17,1,45.5211726,-122.6763654,SW 5th at Oak,2023-04-22T01:56:16.437000Z,1,True,1,1,18
128,16,2,45.54179953,-122.6614845,NE MLK at Knott,2023-04-22T01:56:16.143000Z,2,True,1,1,18
129,16,2,45.52247868,-122.6732969,SW 3rd at Ankeny,2023-04-22T01:56:16.351000Z,2,True,1,1,18
130,18,2,45.51898132,-122.6812685,SW Yamhill at Director Park,2023-04-22T01:56:16.381000Z,2,True,1,1,20
131,4,0,45.53434532,-122.6848841,NW Raleigh at 13th,2023-04-22T01:56:16.464000Z,0,True,1,1,5
132,0,7,45.5120668,-122.6536974,SE 12th Ave at Hawthorne,2023-04-22T01:56:16.114000Z,7,True,1,1,7
133,9,0,45.5200329,-122.7061544,SW Rose Garden Way (Washington Park),2023-04-22T01:56:16.116000Z,0,True,1,1,9
134,8,0,45.5041321,-122.5451016,SE Division at 115th ave,2023-04-22T01:56:16.133000Z,0,True,1,1,8
135,5,2,45.52384,-122.673508,NW 3rd at Couch,2023-04-22T01:56:16.141000Z,2,True,1,1,7
136,6,1,45.526473,-122.6026943,NE Glisan at 60th,2023-04-22T01:56:16.144000Z,1,True,1,1,7
137,9,0,45.5891923,-122.7389314,Roosevelt HS Bike Corral,2023-04-22T01:56:16.146000Z,0,True,1,1,9
138,4,2,45.5152252,-122.6783454,SW 4th at Madison,2023-04-22T01:56:16.151000Z,2,True,1,1,6
139,3,0,45.5127694,-122.6834745,Lincoln Hall,2023-04-22T01:56:16.157000Z,0,True,1,1,4
140,0,6,45.5105937,-122.6854322,Shattuck Hall,2023-04-22T01:56:16.161000Z,6,True,1,1,4
141,7,2,45.5229692,-122.6790213,W Burnside at SW Park Ave,2023-04-22T01:56:16.174000Z,2,True,1,1,9
142,0,5,45.491114,-122.648666,SE 17th Ave at Mall St,2023-04-22T01:56:16.177000Z,5,True,1,1,4
143,8,0,45.5664147,-122.6607857,NE Ainsworth at Grand Ave,2023-04-22T01:56:16.182000Z,0,True,1,1,10
144,3,1,45.5696768,-122.6820685,N Interstate at Rosa Parks Way,2023-04-22T01:56:16.193000Z,1,True,1,1,6
