,ll,fsq_id,cat_id,category_name,categories,name,address,city,country,rating,popularity,price
122,"45.52536699,-122.6725459",40b13b00f964a52068f51ee3,10032,Night Club,"[{'id': 10032, 'name': 'Night Club', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/nightclub_', 'suffix': '.png'}}, {'id': 13011, 'name': 'Gay Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/gaybar_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Darcelle XV,"208 NW 3rd Ave, Portland, OR 97209",Portland,US,6.6,0.9577957795779578,2.0
123,"45.52536699,-122.6725459",40b13b00f964a520f6f51ee3,13065,Restaurant,"[{'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Shanghai Tunnel,"211 SW Ankeny St (at SW 2nd Ave), Portland, OR 97204",Portland,US,6.2,0.9386938693869387,2.0
124,"45.52536699,-122.6725459",4aced52df964a520f2d120e3,10032,Night Club,"[{'id': 10032, 'name': 'Night Club', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/nightclub_', 'suffix': '.png'}}]",Dirty,"35 NW 3rd Ave (at NW Couch St), Portland, OR 97209",Portland,US,5.8,0.9177667766776678,2.0
125,"45.52536699,-122.6725459",4a28c9a1f964a52050951fe3,13011,Gay Bar,"[{'id': 13011, 'name': 'Gay Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/gaybar_', 'suffix': '.png'}}]",Rainbow Room,"200 NW 3rd Ave (at Davis), Portland, OR 97209",Portland,US,7.0,0.9131288128812881,2.0
126,"45.52976024,-122.6966429",417af080f964a520c31d1fe3,13016,Lounge,"[{'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}, {'id': 13026, 'name': 'BBQ Joint', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bbqalt_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",21st Avenue Bar & Grill,"721 NW 21st Ave, Portland, OR 97209",Portland,US,7.0,0.9851360136013602,2.0
127,"45.52976024,-122.6966429",40b13b00f964a5204ef51ee3,13013,Hotel Bar,"[{'id': 13013, 'name': 'Hotel Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_bar_', 'suffix': '.png'}}, {'id': 13031, 'name': 'Burger Joint', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/burger_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Blue Moon Tavern & Grill,"432 NW 21st Ave (at NW Glisan St), Portland, OR 97209",Portland,US,7.1,0.9682343234323433,2.0
128,"45.52976024,-122.6966429",59ae0353ad1ea473b07cf3f5,11039,Event Space,"[{'id': 11039, 'name': 'Event Space', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/eventspace_', 'suffix': '.png'}}]",Function PDX,"919 NW 23rd Ave, Portland, OR 97210",Portland,US,,0.968009300930093,
129,"45.52976024,-122.6966429",4a7b9d8cf964a52090eb1fe3,13065,Restaurant,"[{'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Cafe Nell,"1987 NW Kearney St (at NW 20th Ave), Portland, OR 97209",Portland,US,7.5,0.9674967496749675,2.0
130,"45.52976024,-122.6966429",40b13b00f964a520c3f51ee3,13022,Sports Bar,"[{'id': 13022, 'name': 'Sports Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/sportsbar_', 'suffix': '.png'}}, {'id': 13031, 'name': 'Burger Joint', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/burger_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Nob Hill Bar & Grill,"937 NW 23rd Ave (at NW Lovejoy St), Portland, OR 97210",Portland,US,6.8,0.9668716871687169,2.0
131,"45.52976024,-122.6966429",5bcbcd414aa3f8002c3ab86a,13009,Cocktail Bar,"[{'id': 13009, 'name': 'Cocktail Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Bantam Tavern,"922 NW 21st Ave, Portland, OR 97209",Portland,US,8.3,0.9652090209020903,3.0
