,lat,business_id,category_name,name,address,city,state,country,transactions,reviews,rating,price_scale,price,distance_4rm_bike
84,-122.6535398,i7UQlF1wJnQ7CZe4-BJ3FA,American (New),Genie's Cafe,"['1101 SE Division St', 'Portland, OR 97202']",Portland,OR,US,['delivery'],528,4.0,2,$$,253
85,-122.6535398,yAyy2PzJHxh4XDtL7LAa_g,Delis,Edelweiss Sausage Co & Delicatessen,"['3119 SE 12th Ave', 'Portland, OR 97202']",Portland,OR,US,['delivery'],295,4.0,2,$$,249
86,-122.6535398,emidxwlFmNndQt9Ehfmlyg,"Beer, Wine & Spirits",The Beermongers,"['2415 SE 11th Ave', 'Portland, OR 97202']",Portland,OR,US,[],239,4.5,1,$,329
87,-122.6535398,jhaxQuv2unJnV-tS5wNyHg,Diners,Original Hotcake House,"['1002 SE Powell Blvd', 'Portland, OR 97202']",Portland,OR,US,['delivery'],599,3.5,2,$$,246
88,-122.6535398,pdNUcHhhYopXDXmA9o8J0A,Bars,Apex Bar,"['1216 SE Division St', 'Portland, OR 97202']",Portland,OR,US,[],421,3.5,1,$,207
89,-122.6535398,-3VQI-QXI7fr4TWH0d8p5A,Mexican,Taqueria Los Gorditos,"['1212 SE Division St', 'Portland, OR 97202']",Portland,OR,US,['delivery'],477,3.5,1,$,230
90,-122.6535398,iI0jIwnoMSDJP7MKykqWiQ,Food Trucks,Upside Down,"['3318 SE Milwaukie Ave', 'Portland, OR 97202']",Portland,OR,US,['delivery'],74,4.5,1,$,373
91,-122.6535398,4ElGaADw_6n5eDwisy3o2A,Coffee & Tea,Best Friend Juice & Espresso,"['1121 SE Division St', 'Portland, OR 97202']",Portland,OR,US,"['delivery', 'pickup']",77,4.5,1,$,255
92,-122.6535398,9UU_z68vovCvs2OERu6BKg,Mexican,Aprisa Mexican Cuisine,"['2311 SE 8th Ave', 'Portland, OR 97214']",Portland,OR,US,"['delivery', 'pickup']",254,4.0,1,$,517
93,-122.6535398,_lp_5FcVTI-8SJD-g_C51Q,Performing Arts,Funhouse Lounge,"['2432 SE 11th Ave', 'Portland, OR 97202']",Portland,OR,US,[],122,4.0,2,$$,279
94,-122.6535398,K7VQAJfjLz22smblH557Ww,Coffee & Tea,Rose City Coffee - Brooklyn,"['3370 SE Milwaukie Ave', 'Portland, OR 97202']",Portland,OR,US,"['delivery', 'pickup']",109,4.5,2,$$,464
95,-122.6535398,_DDE8D-BCzRiQDcuSvucJw,Beer Bar,Chuckanut Brewery - P.Nut Beerhall,"['920 SE Caruthers St', 'Portland, OR 97214']",Portland,OR,US,[],13,4.5,2,$$,389
96,-122.6535398,GWG0maTlAuIOxgDTp9BsiA,Cideries,The Place,"['1212 SE Powell Blvd', 'Ste D', 'Portland, OR 97202']",Portland,OR,US,"['delivery', 'pickup']",26,5.0,1,$,276
97,-122.6810794,UAido61OqOmR4P7zQB-Duw,Italian,Grassa,"['1205 SW Washington St', 'Portland, OR 97205']",Portland,OR,US,"['delivery', 'pickup']",1971,4.0,2,$$,183
98,-122.6810794,fP45Ns78xlfeAs2ouHklOg,Breakfast & Brunch,Cheryl’s on 12th,"['1135 SW Washington St', 'Portland, OR 97205']",Portland,OR,US,"['delivery', 'pickup']",2409,4.5,2,$$,168
99,-122.6810794,G6eThYB9QMiis73N3QGgPQ,Thai,Thai Peacock,"['219 SW 9th Ave', 'Portland, OR 97205']",Portland,OR,US,"['delivery', 'pickup']",1054,4.0,2,$$,124
100,-122.6810794,x4sq4nYqjmeItcGjm8vLbw,Cinema,Living Room Theaters,"['341 SW 10th Ave', 'Portland, OR 97205']",Portland,OR,US,"['delivery', 'pickup']",597,4.0,2,$$,66
101,-122.6810794,n16Hf7v3TpWKwjpKoV_01A,Bars,Bullard Tavern,"['813 SW Alder St', 'Portland, OR 97205']",Portland,OR,US,"['delivery', 'pickup']",228,4.0,2,$$,138
102,-122.6810794,kton841tyPEJlVTHjtUF2w,French,Maurice,"['921 SW Oak St', 'Portland, OR 97205']",Portland,OR,US,[],225,4.0,2,$$,108
103,-122.6810794,qeuJgUdcmL5yAweOsMm6rA,Brewpubs,Deschutes Brewery Portland Public House,"['210 NW 11th Ave', 'Portland, OR 97209']",Portland,OR,US,"['delivery', 'pickup']",3427,4.0,2,$$,330
104,-122.6810794,Eqt-cxIJf5eAKNotaOb-Tw,Mediterranean,Lil' Shalom,"['1128 SW Alder St', 'Portland, OR 97205']",Portland,OR,US,"['delivery', 'pickup']",522,4.5,2,$$,208
105,-122.6810794,DbZ9dlJVZW68i9EzYqtcbA,Seafood,Jake's Famous Crawfish,"['401 SW 12th Ave', 'Portland, OR 97205']",Portland,OR,US,"['delivery', 'pickup']",1812,4.0,3,$$$,206
