,latitude,longitude,name,empty_slots,free_bikes,extra.renting,extra.returning,ebikes,total_bikes
220,45.53496857,-122.653631,NE Broadway at 12th,13,1,1,1,1,16
221,45.4900193,-122.5688739,SE 92nd at SE Holgate,6,3,1,1,3,9
222,45.5205931,-122.637238,SE 28th at Pine,4,2,1,1,2,6
223,45.588297,-122.7380898,N Central at N Ida,8,1,1,1,1,9
224,45.4988159,-122.6540982,SE Milwaukie at Pershing,5,0,1,1,0,5
225,45.4797127,-122.5686256,SE 92nd at Foster,4,4,1,1,4,8
226,45.5536928,-122.6304676,NE Skidmore at 33rd Ave,1,2,1,1,2,6
227,45.5422831,-122.6037107,NE Alameda at 58th Ave,4,1,1,1,1,5
228,45.51158277,-122.682281,Urban Center Plaza at SW 6th,15,1,1,1,1,16
229,45.4941194,-122.5786536,SE 82nd Ave at SE Francis (Eastport Plaza),3,0,1,1,0,3
230,45.5181656,-122.639145,Lone Fir Cemetery,3,0,1,1,0,3
231,45.55891838,-122.6824003,N Alberta Street at Interstate Ave,5,1,1,1,1,7
232,45.5226089,-122.5804512,SE 81st Ave at E Burnside St,4,2,1,1,2,6
233,45.5808002,-122.7133655,N Winchell at N Woolsey,3,6,1,1,6,9
