,reviews,rating,ebikes,total_bikes
2122,155,2.5,0,9
2123,135,4.0,0,9
2124,92,3.0,0,9
2125,169,3.0,0,9
2126,140,2.0,0,9
2127,16,3.0,0,9
2128,8,4.0,0,9
2129,10,3.5,0,9
2130,24,3.5,0,9
2131,97,2.0,0,9
2132,43,3.5,0,9
2133,6,4.5,0,9
2134,58,2.5,0,9
2135,1076,4.5,4,5
2136,1329,4.0,4,5
2137,968,4.0,4,5
2138,1106,4.0,4,5
2139,1337,4.0,4,5
2140,628,3.5,4,5
2141,114,4.5,4,5
2142,362,4.0,4,5
2143,191,4.5,4,5
2144,873,4.0,4,5
2145,36,4.5,4,5
2146,597,4.0,4,5
2147,465,4.0,4,5
2148,374,4.5,4,5
2149,1095,4.5,4,5
2150,496,4.0,4,5
2151,374,4.5,4,5
2152,318,4.0,4,5
2153,172,4.5,4,5
2154,50,4.5,4,5
2155,3427,4.0,2,16
2156,925,4.5,2,16
2157,306,4.0,2,16
2158,499,4.0,2,16
2159,517,4.0,2,16
2160,126,4.0,2,16
2161,576,4.5,2,16
2162,178,4.5,2,16
2163,904,4.5,2,16
2164,779,4.0,2,16
2165,355,4.0,2,16
2166,3202,4.5,2,16
2167,290,3.5,2,16
2168,1812,4.0,2,16
2169,519,4.0,2,16
2170,192,4.5,2,16
2171,2409,4.5,2,16
2172,1971,4.0,2,16
2173,3285,4.0,2,16
2174,625,4.0,2,16
2175,3949,4.0,7,18
2176,1743,4.5,7,18
2177,242,4.0,7,18
2178,917,4.5,7,18
2179,348,3.5,7,18
2180,4899,4.5,7,18
2181,1151,4.0,7,18
2182,251,4.5,7,18
2183,595,4.5,7,18
2184,3285,4.0,7,18
2185,1099,4.0,7,18
2186,164,4.5,7,18
2187,929,3.5,7,18
2188,440,4.5,7,18
2189,873,4.0,7,18
2190,241,4.0,7,18
2191,516,4.5,7,18
2192,614,4.5,7,18
2193,714,4.0,7,18
2194,1689,3.5,7,18
2195,1099,4.0,0,20
2196,1689,3.5,0,20
2197,3949,4.0,0,20
2198,614,4.5,0,20
2199,917,4.5,0,20
2200,4899,4.5,0,20
2201,1151,4.0,0,20
2202,280,4.5,0,20
2203,3285,4.0,0,20
2204,1509,4.0,0,20
2205,873,4.0,0,20
2206,177,4.0,0,20
2207,631,4.5,0,20
2208,2409,4.5,0,20
2209,588,4.0,0,20
2210,714,4.0,0,20
2211,1784,4.0,0,20
2212,1971,4.0,0,20
2213,251,4.5,0,20
2214,1812,4.0,0,20
2215,1743,4.5,2,18
2216,4899,4.5,2,18
2217,251,4.5,2,18
2218,164,4.5,2,18
2219,1078,4.5,2,18
2220,3285,4.0,2,18
2221,590,4.0,2,18
2222,440,4.5,2,18
2223,516,4.5,2,18
2224,1151,4.0,2,18
2225,595,4.5,2,18
2226,688,4.0,2,18
2227,424,4.0,2,18
2228,615,3.5,2,18
2229,742,4.0,2,18
2230,223,4.0,2,18
2231,362,5.0,2,18
2232,395,3.5,2,18
2233,873,4.0,2,18
2234,457,4.0,2,18
2235,1099,4.0,13,18
2236,3949,4.0,13,18
2237,228,4.0,13,18
2238,177,4.0,13,18
2239,1689,3.5,13,18
2240,588,4.0,13,18
2241,1509,4.0,13,18
2242,3285,4.0,13,18
2243,361,4.0,13,18
2244,4899,4.5,13,18
2245,917,4.5,13,18
2246,631,4.5,13,18
2247,714,4.0,13,18
2248,1971,4.0,13,18
2249,2409,4.5,13,18
2250,555,4.5,13,18
2251,1812,4.0,13,18
2252,1151,4.0,13,18
2253,1784,4.0,13,18
2254,522,4.5,13,18
2255,3949,4.0,4,12
2256,917,4.5,4,12
2257,1743,4.5,4,12
2258,614,4.5,4,12
2259,1099,4.0,4,12
2260,1151,4.0,4,12
2261,685,3.5,4,12
2262,280,4.5,4,12
2263,4899,4.5,4,12
2264,873,4.0,4,12
2265,241,4.0,4,12
2266,242,4.0,4,12
2267,3285,4.0,4,12
2268,1689,3.5,4,12
2269,251,4.5,4,12
2270,312,2.5,4,12
2271,187,4.0,4,12
2272,595,4.5,4,12
2273,929,3.5,4,12
2274,440,4.5,4,12
2275,3285,4.0,1,18
2276,1743,4.5,1,18
2277,4899,4.5,1,18
2278,1151,4.0,1,18
2279,3949,4.0,1,18
2280,1099,4.0,1,18
2281,714,4.0,1,18
2282,3427,4.0,1,18
2283,1081,3.5,1,18
2284,167,4.0,1,18
2285,221,4.5,1,18
2286,917,4.5,1,18
2287,177,4.0,1,18
2288,251,4.5,1,18
2289,595,4.5,1,18
2290,440,4.5,1,18
2291,1509,4.0,1,18
2292,873,4.0,1,18
2293,164,4.5,1,18
2294,576,4.5,1,18
2295,1201,4.5,2,18
2296,175,4.5,2,18
2297,50,4.5,2,18
2298,38,4.5,2,18
2299,318,4.0,2,18
2300,234,4.0,2,18
2301,97,4.5,2,18
2302,102,3.5,2,18
2303,116,4.0,2,18
2304,11,3.5,2,18
2305,5,4.0,2,18
2306,129,4.0,2,18
2307,65,3.5,2,18
2308,4,5.0,2,18
2309,76,3.5,2,18
2310,4899,4.5,2,18
2311,590,4.0,2,18
2312,1743,4.5,2,18
2313,440,4.5,2,18
2314,3285,4.0,2,18
2315,164,4.5,2,18
2316,251,4.5,2,18
2317,742,4.0,2,18
2318,424,4.0,2,18
2319,223,4.0,2,18
2320,395,3.5,2,18
2321,688,4.0,2,18
2322,615,3.5,2,18
2323,595,4.5,2,18
2324,1151,4.0,2,18
2325,457,4.0,2,18
2326,57,4.0,2,18
2327,142,4.5,2,18
2328,516,4.5,2,18
2329,1099,4.0,2,18
2330,361,4.0,2,20
2331,1509,4.0,2,20
2332,588,4.0,2,20
2333,1099,4.0,2,20
2334,3949,4.0,2,20
2335,228,4.0,2,20
2336,555,4.5,2,20
2337,502,4.0,2,20
2338,917,4.5,2,20
2339,631,4.5,2,20
2340,743,3.5,2,20
2341,522,4.5,2,20
2342,2409,4.5,2,20
2343,1971,4.0,2,20
2344,1812,4.0,2,20
2345,842,3.5,2,20
2346,3285,4.0,2,20
2347,110,4.5,2,20
2348,1689,3.5,2,20
2349,1784,4.0,2,20
2350,846,4.5,0,5
2351,245,4.0,0,5
2352,60,4.5,0,5
2353,82,4.5,0,5
2354,403,4.0,0,5
2355,338,4.0,0,5
2356,315,4.0,0,5
2357,223,4.0,0,5
2358,240,4.5,0,5
2359,95,4.5,0,5
2360,271,4.5,0,5
2361,38,4.5,0,5
2362,233,4.0,0,5
